allele	layer	assay_id	assay_type	cell_type	description	ref_value	alt_value	raw_score	quantile_score	ref_signal_percentile	note
insertion	chromatin_accessibility	DNASE/EFO:0002067 DNase-seq/.	DNASE	K562		24.335235595703125	473.35675048828125	4.226755328205992	1.0	0.7636	
insertion	histone_marks	CHIP_HISTONE/EFO:0002067 Histone ChIP-seq H3K27ac/.	CHIP	K562		3769.0	8660.0	1.1999690848011115	1.0	0.9741	
insertion	tss_activity	CAGE/hCAGE EFO:0002067/+	CAGE	K562	variant site	0.37778568267822266	0.5682072639465332	0.18676475613947693	1.0	0.9905317973804639	
